*geografické pojmy začínající velkým písmenem, které mají identické slovo v derinetu začínající malým písmenem a nejsou k sobě připojeni
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Aalen	aalen
chybí hrana	Aberdeen	aberdeen
chybí hrana	Abies	abies
chybí hrana	Adamantina	adamantina
chybí hrana	Akropole	akropole
chybí hrana	Algol	algol
chybí hrana	Alžír	alžír
chybí hrana	Amur	amur
chybí hrana	Anděl	anděl
chybí hrana	Angel	angel
chybí hrana	Anguilla	anguilla
chybí hrana	Anta	anta
chybí hrana	Arba	arba
chybí hrana	Arbor	arbor
chybí hrana	Archeopark	archeopark
chybí hrana	Archeoskanzen	archeoskanzen
chybí hrana	Argentina	argentina
chybí hrana	Arista	arista
chybí hrana	Armagedon	armagedon
chybí hrana	Assis	assis
chybí hrana	Atalanta	atalanta
chybí hrana	Atika	atika
chybí hrana	Attika	attika
chybí hrana	Atlantik	atlantik
chybí hrana	Austin	austin
chybí hrana	Autun	autun
chybí hrana	Avion	avion
chybí hrana	Baba	baba
chybí hrana	Babice	babice
chybí hrana	Babice	babice
chybí hrana	Babylón	babylón
chybí hrana	Babí	babí
chybí hrana	Bachmač	bachmač
chybí hrana	Baden	baden
chybí hrana	Bahno	bahno
chybí hrana	Bajan	bajan
chybí hrana	Balkán	balkán
chybí hrana	Balíkov	balíkov
chybí hrana	Baraba	baraba
chybí hrana	Basa	basa
chybí hrana	Bath	bath
chybí hrana	Baton	baton
chybí hrana	Baňa	baňa
chybí hrana	Bažantice	bažantice
chybí hrana	Belveder	belveder
chybí hrana	Bengo	bengo
chybí hrana	Bermudy	bermudy
chybí hrana	Besednice	besednice
chybí hrana	Betlém	betlém
chybí hrana	Bezovka	bezovka
chybí hrana	Bezďák	bezďák
chybí hrana	Bianco	bianco
chybí hrana	Bikini	bikini
chybí hrana	Biskup	biskup
chybí hrana	Blackjack	blackjack
chybí hrana	Blatnice	blatnice
chybí hrana	Blatnička	blatnička
chybí hrana	Blatník	blatník
chybí hrana	Blato	blato
chybí hrana	Bláto	bláto
chybí hrana	Bobr	bobr
chybí hrana	Bohyně	bohyně
chybí hrana	Bojiště	bojiště
