*opuštěná slova končící na 'á'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	Aachenová	Aachen
chybí hrana	Aahlenová	Aahlen
chybí hrana	Aaronová	Aaron
chybí hrana	Aaronsová	Aarons
chybí hrana	Abadieová	Abadie
chybí hrana	Abadžievová	Abadžiev
chybí hrana	Abakanowiczová	Abakanowicz
chybí hrana	Abarcaová	Abarca
chybí hrana	Abascalová	Abascal
chybí hrana	Abateová	Abate
chybí hrana	Abašinová	Abašin
chybí hrana	Abbidová	Abbid
chybí hrana	Abbrentová	Abbrent
chybí hrana	Abbúdová	Abbúd
chybí hrana	Abdallahová	Abdallah
chybí hrana	Abdelnourová	Abdelnour
chybí hrana	Abdelrahmanová	Abdelrahman
chybí hrana	Abdeslamová	Abdeslam
chybí hrana	Abdesslemová	Abdesslem
chybí hrana	Abdinurová	Abdinur
chybí hrana	Abdiová	Abdi
chybí hrana	Abedinová	Abedin
chybí hrana	Abernathyová	Abernathy
chybí hrana	Aboová	Abo
chybí hrana	Abrahamovičová	Abrahamovič
chybí hrana	Abrahamsonová	Abrahamson
chybí hrana	Abrahamssonová	Abrahamsson
chybí hrana	Abramsonová	Abramson
chybí hrana	Absintová	absint
chybí hrana	Absolínová	Absolín
chybí hrana	Adamcová	Adamec
chybí hrana	Adamicová	Adamica
chybí hrana	Adamíčková	Adamíček
chybí hrana	Aderová	Adera
chybí hrana	Adiová	Adi
chybí hrana	Adriansenová	Adriansen
chybí hrana	Adámková	Adámek
chybí hrana	Adášková	Adášek
chybí hrana	Aghová	Agha
chybí hrana	Agostinová	Agostin
chybí hrana	Aichingrová	Aichinger
chybí hrana	Aimeeová	Aimee
chybí hrana	Alamuddinová	Alamuddin
chybí hrana	Albertiová	Alberti
chybí hrana	Alexijevičová	Alexijevič
chybí hrana	Aliová	Ali
chybí hrana	Alstrová	Alster
chybí hrana	Alvarezová	Alvarez
chybí hrana	Alšová	Aleš
chybí hrana	Andonovová	Andonov
chybí hrana	Andová	Anda
chybí hrana	Andrejsková	Andrejsek
chybí hrana	Andrýsková	Andrýsek
chybí hrana	Antonovská	antonovský
chybí hrana	Antoníčková	Antoníček
chybí hrana	Antoňová	Antoň
chybí hrana	Antošíková	Antošík
chybí hrana	Antálková	Antálek
chybí hrana	Antůšková	Antůšek
chybí hrana	Applová	Appel
chybí hrana	Aquilerová	Aquilera
chybí hrana	Archmanová	Archman
chybí hrana	Arnoštková	Arnoštek
chybí hrana	Asadaová	Asada
chybí hrana	Atamanová	ataman
chybí hrana	Audinaová	audina
chybí hrana	Audranová	Audran
chybí hrana	Auersvaldová	Auersvald
chybí hrana	Auředníčková	Auředníček
chybí hrana	Babbová	Babb
chybí hrana	Babejová	Babej
chybí hrana	Babiaková	Babiak
chybí hrana	Babidoričová	Babidorič
chybí hrana	Babincová	Babinec
chybí hrana	Babinová	Babina
chybí hrana	Babitzová	Babitz
chybí hrana	Babiuková	Babiuk
chybí hrana	Babičková	babička
chybí hrana	Babjarová	Babjar
