*opuštěná slova končící na 'čko' nebo 'ček'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	adresáříček	adresář
chybí hrana	alkoholíček	alkohol
chybí hrana	anduláček	andulák
chybí hrana	auditeček	audit
chybí hrana	bagříček	bagřík
chybí hrana	bahníčko	bahník
chybí hrana	bahňáček	bahňák
chybí hrana	baleťáček	baleťák
chybí hrana	bareček	bar
chybí hrana	basáček	bas
chybí hrana	bavlníček	bavlník
chybí hrana	baňáček	baňa
chybí hrana	bejváníčko	bejvání
chybí hrana	bejváček	bejvák
chybí hrana	beláček	bel
chybí hrana	bezpečíčko	bezpečí
chybí hrana	biosáček	bios
chybí hrana	biošpekáček	biošpek
chybí hrana	blafáček	blaf
chybí hrana	blešáček	blešák
chybí hrana	blešáček	blešák
chybí hrana	blázníček	blázen
chybí hrana	bodlináček	bodlináč
chybí hrana	bodyček	bod
chybí hrana	bodíčko	bod
chybí hrana	bombarďáček	bombarďák
chybí hrana	bombarďáček	bombarďák
chybí hrana	bonusíček	bonus
chybí hrana	borovíčko	boroví
chybí hrana	botníček	botník
chybí hrana	bouráček	bourák
chybí hrana	bramboříček	brambořík
chybí hrana	bravíčko	brav
chybí hrana	brusleníčko	bruslení
chybí hrana	brzlíček	brzlík
chybí hrana	bucláček	buclák
chybí hrana	budníček	budník
chybí hrana	budníček	budník
chybí hrana	buřtíček	buřt
chybí hrana	buřtíček	buřt
chybí hrana	bádáníčko	bádání
chybí hrana	báleček	bál
chybí hrana	báčko	bák
chybí hrana	běháníčko	běhání
chybí hrana	cachtáníčko	cachtání
chybí hrana	celeráček	celer
chybí hrana	centimetříček	centimetřík
chybí hrana	cenťáček	cenťák
chybí hrana	chechtáček	checht
chybí hrana	chlebníček	chlebník
chybí hrana	chlumeček	chlum
chybí hrana	chlupáček	chlup
chybí hrana	chmelíček	chmel
chybí hrana	chrapláček	chraplák
chybí hrana	chrchláček	chrchlák
chybí hrana	chrámeček	chrám
chybí hrana	chrásteček	chrást
chybí hrana	chumlíček	chuml
chybí hrana	chytáček	chyt
chybí hrana	chřestovníček	chřestovna
chybí hrana	cimbuříčko	cimbuří
chybí hrana	cizáček	cizák
chybí hrana	copeček	cop
chybí hrana	couráček	courák
chybí hrana	cvičeníčko	cvičení
chybí hrana	cvičáček	cvičák
chybí hrana	datumíčko	datum
chybí hrana	debilníček	debilní
chybí hrana	demíčko	demo
chybí hrana	desetikolečko	desetikolek
chybí hrana	desátníček	desátník
chybí hrana	detailíček	detail
chybí hrana	diblíček	diblík
chybí hrana	dieseláček	diesel
chybí hrana	diplomíček	diplom
chybí hrana	divadlíčko	divadlo
chybí hrana	divočáček	divočák
chybí hrana	dobyteček	dobytek
chybí hrana	dodateček	dodat
chybí hrana	dojáček	doják
chybí hrana	dojímáníčko	dojímání
chybí hrana	dopraváček	dopravák
chybí hrana	dospěláček	dospělák
chybí hrana	dostavníček	dostavník
chybí hrana	drahokamíček	drahokam
chybí hrana	dramaťáček	dramaťák
chybí hrana	drobeček	drob
