*podstatná jména končící na 'ista' bez rodiče
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	afišista	afiš
chybí hrana	akcesista	akcese
chybí hrana	alternativista	alternativa
chybí hrana	antiradarista	antiradar
chybí hrana	arborista	arboristika
chybí hrana	arcikomunista	komunista
chybí hrana	arciterorista	terorista
chybí hrana	arista	ar
chybí hrana	atlantista	atlant
chybí hrana	avalista	aval
chybí hrana	baasista	baasismus
chybí hrana	babetista	babeta
chybí hrana	babytenista	babyten
chybí hrana	bahaista	bahaismus
chybí hrana	balista	balistika
chybí hrana	balkanista	balkanistika
chybí hrana	ballista	ball
chybí hrana	bandažista	bandaž
chybí hrana	bandurista	bandur
chybí hrana	barokista	barokismus
chybí hrana	bestselerista	bestseler
chybí hrana	bilancista	bilance
chybí hrana	blábolista	blábolismus
chybí hrana	bulharista	bulharistika
chybí hrana	bulvarista	bulvar
chybí hrana	camorrista	camorra
chybí hrana	capoeirista	capoeira
chybí hrana	castrista	castrismus
chybí hrana	cykloaktivista	aktivista
chybí hrana	cykloextremista	extremista
chybí hrana	cyklonudista	nudista
chybí hrana	cyklospecialista	specialista
chybí hrana	davista	dav
chybí hrana	deblkanoista	deblkano
chybí hrana	dekorativista	dekorativismus
chybí hrana	detektorista	detektor
chybí hrana	dialogista	dialog
chybí hrana	difuzionista	difuzionismus
chybí hrana	dimotikista	dimotikismus
chybí hrana	donatista	donatismus
chybí hrana	děkabrista	děkabrismus
chybí hrana	egodeista	egodeismus
chybí hrana	egofuturista	egofuturismus
chybí hrana	ekoaktivista	aktivista
chybí hrana	elektromobilista	elektromobil
chybí hrana	elementarista	elementarismus
chybí hrana	etatista	etatismus
chybí hrana	eurofederalista	eurofederalismus
chybí hrana	europesimista	europesimismus
chybí hrana	evropeista	evropeismus
chybí hrana	excentrista	centrista
chybí hrana	exfederalista	federalista
chybí hrana	exfotbalista	fotbalista
chybí hrana	exlibrista	exlibr
chybí hrana	exligista	ligista
chybí hrana	exorcista	exorcismus
chybí hrana	experimentalista	experimentalismus
chybí hrana	expučista	pučista
chybí hrana	exsocialista	socialista
chybí hrana	exterorista	terorista
chybí hrana	fakturista	faktura
chybí hrana	fauvista	fauvismus
chybí hrana	flancista	flanc
chybí hrana	freestylista	freestyl
chybí hrana	freudista	freudismus
chybí hrana	frézista	fréza
chybí hrana	fyskulturista	fyskultura
chybí hrana	goista	go
chybí hrana	gonochorista	gonochorismus
chybí hrana	havlista	havlismus
chybí hrana	hispanista	hispanistika
chybí hrana	hlasista	hlasismus
chybí hrana	hungarista	hungarismus
chybí hrana	imagista	imagismus
chybí hrana	imažinista	imažinismus
chybí hrana	indianista	indianismus
chybí hrana	industrialista	industrialismus
chybí hrana	inkasista	inkaso
chybí hrana	intuicionista	intuicionismus
chybí hrana	italista	italismus
chybí hrana	jansenista	jansenismus
chybí hrana	japanista	japanismus
chybí hrana	jurista	jura
chybí hrana	kaligrafista	kaligraf
chybí hrana	kanoepolista	kanoepolo
chybí hrana	kanoista	kanoistika
