*slova rodu ženského končící na 'ice', která jsou bez rodiče
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	baletnice	balet
chybí hrana	benefice	ben
chybí hrana	bernice	beran
chybí hrana	biodojnice	dojnice
chybí hrana	biohořčice	hořčice
chybí hrana	biojitrnice	jitrnice
chybí hrana	biopopelnice	popelnice
chybí hrana	bioslepice	slepice
chybí hrana	bioslivovice	slivovice
chybí hrana	biostřelnice	střelnice
chybí hrana	biotrubice	trubice
chybí hrana	biotržnice	tržnice
chybí hrana	biovesnice	vesnice
chybí hrana	biovinice	vinice
chybí hrana	bobkovnice	bobek
chybí hrana	borůvkovice	borůvka
chybí hrana	brusnice	brus
chybí hrana	běhanice	běhat
chybí hrana	chrtice	chrt
chybí hrana	chumelice	chumel
chybí hrana	cpanice	cpaní
chybí hrana	cuchanice	cuchat
chybí hrana	cyklodálnice	dálnice
chybí hrana	cykloexpedice	expedice
chybí hrana	cykloopozice	opozice
chybí hrana	cyklorukavice	rukavice
chybí hrana	cyklosilnice	silnice
chybí hrana	cyklospojnice	spojnice
chybí hrana	datlice	datle
chybí hrana	desetice	deset
chybí hrana	devatenáctice	devatenáct
chybí hrana	dikobrazice	dikobraz
chybí hrana	dranice	draní
chybí hrana	drápanice	drápat
chybí hrana	dubovice	dub
chybí hrana	dvacetice	dvacet
chybí hrana	dvanáctice	dvanáct
chybí hrana	dvojedice	edice
chybí hrana	dvojexpozice	expozice
chybí hrana	dvojkoalice	koalice
chybí hrana	dvojlavice	lavice
chybí hrana	dvojlesnice	lesnice
chybí hrana	dvojpohlednice	pohlednice
chybí hrana	dvojzávitnice	závitnice
chybí hrana	dvojšroubovice	šroubovice
chybí hrana	dvoubleskovice	bleskovice
chybí hrana	dvoukoalice	koalice
chybí hrana	dvoulavice	lavice
chybí hrana	dvoupohlednice	pohlednice
chybí hrana	dvouveslice	veslice
chybí hrana	dvoušroubovice	šroubovice
chybí hrana	hrotnice	hrot
chybí hrana	hřebice	hřeb
chybí hrana	jabkovice	jabko
chybí hrana	jedenáctice	jedenáct
chybí hrana	jelenčice	jelen
chybí hrana	kaprice	kapr
chybí hrana	klanice	klan
chybí hrana	klokanice	klokan
chybí hrana	kopice	kop
chybí hrana	kopice	kop
chybí hrana	kornoutnice	kornout
chybí hrana	koutnice	kout
chybí hrana	košatice	koš
chybí hrana	krásnice	krást
chybí hrana	kudlice	kudla
chybí hrana	kuklice	kukla
chybí hrana	křehkovice	křehko
chybí hrana	lanovnice	lano
chybí hrana	ledovice	led
chybí hrana	lopatice	lopata
chybí hrana	lubenice	lub
chybí hrana	lískovice	líska
chybí hrana	lítanice	lítat
chybí hrana	malinovice	malina
chybí hrana	mamutice	mamut
chybí hrana	mandlovice	mandle
chybí hrana	matenice	mat
chybí hrana	mezipozice	pozice
chybí hrana	mezisběrnice	sběrnice
chybí hrana	mezistanice	stanice
chybí hrana	mrdanice	mrdat
chybí hrana	muchlanice	muchlat
chybí hrana	máchanice	máchat
chybí hrana	májovnice	máj
