*přídavná jména končící na 'ův', která nejsou připojena ke slovu mužského rodu
*varianta	zkoumané slovo	nalezené slovo
*
*rodič není mužského rodu
špatný rod rodiče	Agův	Aga
špatný rod rodiče	Ajův	Aja
špatný rod rodiče	Alisův	Alis
špatný rod rodiče	Allendův	Allende
špatný rod rodiče	Aminův	Amina
špatný rod rodiče	Anjouův	Anjou
špatný rod rodiče	Babův	Baba
špatný rod rodiče	Bolognův	Bologna
špatný rod rodiče	Brodinův	Brodina
špatný rod rodiče	Calderův	Caldera
špatný rod rodiče	Cammaranův	Cammarana
špatný rod rodiče	Copův	Copa
špatný rod rodiče	Cosimův	Cosimo
špatný rod rodiče	Costanzův	Costanza
špatný rod rodiče	Daurův	Daura
špatný rod rodiče	Demeterův	Demeter
špatný rod rodiče	Dinův	Dina
špatný rod rodiče	Dolinův	Dolin
špatný rod rodiče	Dolfův	Dolfa
špatný rod rodiče	Donnův	Donna
špatný rod rodiče	Dowův	Dowa
špatný rod rodiče	Fedorův	Fedora
špatný rod rodiče	Ferrarův	Ferrara
špatný rod rodiče	Finkův	Finka
špatný rod rodiče	Fortunatův	Fortunata
špatný rod rodiče	Francův	Franca
špatný rod rodiče	Franciskův	Francisko
špatný rod rodiče	Gajův	Gaj
špatný rod rodiče	Gelův	Gela
špatný rod rodiče	Gerův	Gera
špatný rod rodiče	Gerdův	Gerda
špatný rod rodiče	Gertův	Gerta
špatný rod rodiče	Giraldův	Giralda
špatný rod rodiče	Haganův	Hagana
špatný rod rodiče	Hamrův	Hamra
špatný rod rodiče	Hankův	Hanka
špatný rod rodiče	Hardův	Harda
špatný rod rodiče	Hartův	Harta
špatný rod rodiče	Hermův	Herma
špatný rod rodiče	Hippolytův	Hippolyta
špatný rod rodiče	Holtův	Holt
špatný rod rodiče	Humův	Huma
špatný rod rodiče	Hutův	Huta
špatný rod rodiče	Jagův	Jaga
špatný rod rodiče	Jamatův	Jamato
špatný rod rodiče	Jankův	Janka
špatný rod rodiče	Januškův	Januška
špatný rod rodiče	Jarkův	Jarka
špatný rod rodiče	Jaroškův	Jaroška
špatný rod rodiče	Justův	Justa
špatný rod rodiče	Kafrův	Kafra
špatný rod rodiče	Kamilův	Kamila
špatný rod rodiče	Kandlův	Kandla
špatný rod rodiče	Kappův	Kappa
špatný rod rodiče	Karmalův	Karmala
špatný rod rodiče	Kelsův	Kelso
špatný rod rodiče	Kinkalův	Kinkala
špatný rod rodiče	Kirův	Kira
špatný rod rodiče	Klenotův	Klenota
špatný rod rodiče	Kolkův	Kolka
špatný rod rodiče	Kubánkův	Kubánka
špatný rod rodiče	Larův	Lara
špatný rod rodiče	Larsův	Larsa
špatný rod rodiče	Lassův	Lassa
špatný rod rodiče	Leoninův	Leonin
špatný rod rodiče	Leonův	Leona
špatný rod rodiče	Leopoldův	Leopolda
špatný rod rodiče	Lingův	Linga
špatný rod rodiče	Longův	Longa
špatný rod rodiče	Lorenův	Lorena
špatný rod rodiče	Lotův	Lota
špatný rod rodiče	Lugův	Luga
špatný rod rodiče	Machadův	Machado
špatný rod rodiče	Maderův	Madera
špatný rod rodiče	Mannův	Manna
špatný rod rodiče	Manuelův	Manuela
špatný rod rodiče	Marianův	Marian
špatný rod rodiče	Marinův	Marino
špatný rod rodiče	Massarův	Massara
špatný rod rodiče	Matalův	Matala
špatný rod rodiče	Maximův	Maxima
špatný rod rodiče	Medův	Meda
špatný rod rodiče	Miaův	Mia
špatný rod rodiče	Milevův	Mileva
špatný rod rodiče	Montanův	Montana
špatný rod rodiče	Moranův	Morana
špatný rod rodiče	Moravův	Morava
špatný rod rodiče	Moreauův	Moreau
špatný rod rodiče	Morellův	Morella
špatný rod rodiče	Morenův	Morena
špatný rod rodiče	Morzinův	Morzina
špatný rod rodiče	Munův	Muna
špatný rod rodiče	Nadjův	Nadja
špatný rod rodiče	Nerův	Nera
špatný rod rodiče	Nolův	Nola
špatný rod rodiče	Nonnův	Nonno
špatný rod rodiče	Odův	Oda
špatný rod rodiče	Olinův	Olina
špatný rod rodiče	Oravův	Orava
špatný rod rodiče	Ormův	Orma
špatný rod rodiče	Orsův	Orsa
špatný rod rodiče	Ortův	Orta
špatný rod rodiče	Paolův	Paola
špatný rod rodiče	Pascalův	Pascale
špatný rod rodiče	Perlův	Perla
špatný rod rodiče	Petrův	Petra
špatný rod rodiče	Petruskův	Petruska
špatný rod rodiče	Pipinův	Pipina
špatný rod rodiče	Pirkův	Pirka
špatný rod rodiče	Placidův	Placida
špatný rod rodiče	Polanův	Polana
špatný rod rodiče	Poljanův	Poljana
špatný rod rodiče	Polkův	Polka
špatný rod rodiče	Pompeiův	Pompei
špatný rod rodiče	Quintův	Quinto
špatný rod rodiče	Regův	Rega
špatný rod rodiče	Rejčkův	Rejčka
špatný rod rodiče	Remův	Rema
špatný rod rodiče	Renův	Rena
špatný rod rodiče	Ripellinův	Ripellina
špatný rod rodiče	Rochův	Rocha
špatný rod rodiče	Rollův	Rolla
špatný rod rodiče	Ronův	Rona
špatný rod rodiče	Rosinův	Rosina
špatný rod rodiče	Rubenův	Rubena
špatný rod rodiče	Saamův	Saama
špatný rod rodiče	Safinův	Safina
špatný rod rodiče	Sallův	Salla
špatný rod rodiče	Sanův	Sana
špatný rod rodiče	Sarův	Sara
špatný rod rodiče	Savův	Sava
špatný rod rodiče	Savonův	Savona
špatný rod rodiče	Schwarzův	Schwarza
