*identická slova s rozdílnou velikostí prvního písmene a stejným slovním druhem
*chybí hrana	zkoumané slovo	nalezené slovo
*
chybí hrana	Aalen	aalen
chybí hrana	Aba	aba
chybí hrana	Abachi	abachi
chybí hrana	Aberdeen	aberdeen
chybí hrana	Abies	abies
chybí hrana	Abraxas	abraxas
chybí hrana	Abutilon	abutilon
chybí hrana	Accura	accura
chybí hrana	Acer	acer
chybí hrana	Acetylcystein	acetylcystein
chybí hrana	Acylpyrin	acylpyrin
chybí hrana	Adax	adax
chybí hrana	Adrie	adrie
chybí hrana	Adéla	adéla
chybí hrana	Aero	aero
chybí hrana	Aeroholding	aeroholding
chybí hrana	Africanus	africanus
chybí hrana	Aga	aga
chybí hrana	Agrodružstvo	agrodružstvo
chybí hrana	Agrokomplex	agrokomplex
chybí hrana	Agrokonto	agrokonto
chybí hrana	Air	air
chybí hrana	Airbus	airbus
chybí hrana	Aithér	aithér
chybí hrana	Ajatin	ajatin
chybí hrana	Aksamit	aksamit
chybí hrana	Ala	ala
chybí hrana	Alan	alan
chybí hrana	Alba	alba
chybí hrana	Albatros	albatros
chybí hrana	Albula	albula
chybí hrana	Albus	albus
chybí hrana	Albín	albín
chybí hrana	Alcazar	alcazar
chybí hrana	Aldrin	aldrin
chybí hrana	Alef	alef
chybí hrana	Alexie	alexie
chybí hrana	Alfa	alfa
chybí hrana	Algol	algol
chybí hrana	Aliance	aliance
chybí hrana	Alias	alias
chybí hrana	Alija	alija
chybí hrana	Alkáč	alkáč
chybí hrana	Allen	allen
chybí hrana	Alma	alma
chybí hrana	Alnagon	alnagon
chybí hrana	Alnus	alnus
chybí hrana	Aloe	aloe
chybí hrana	Alois	alois
chybí hrana	Aloisie	aloisie
chybí hrana	Alpa	alpa
chybí hrana	Alt	alt
chybí hrana	Althing	althing
chybí hrana	Altima	altima
chybí hrana	Altis	altis
chybí hrana	Alžír	alžír
chybí hrana	Amara	amara
chybí hrana	Ambra	ambra
chybí hrana	Ambrož	ambrož
chybí hrana	Amin	amin
chybí hrana	Amina	amina
chybí hrana	Ammon	ammon
chybí hrana	Amur	amur
chybí hrana	Amygdalus	amygdalus
chybí hrana	Anabasin	anabasin
chybí hrana	Analogon	analogon
chybí hrana	Andira	andira
chybí hrana	Anděl	anděl
chybí hrana	Anguilla	anguilla
chybí hrana	Annona	annona
chybí hrana	Annonce	annonce
chybí hrana	Anta	anta
chybí hrana	Antabus	antabus
chybí hrana	Anthropologie	anthropologie
chybí hrana	Antikva	antikva
chybí hrana	Antiperle	antiperle
chybí hrana	Anton	anton
chybí hrana	Antonov	antonov
chybí hrana	Anus	anus
chybí hrana	Apel	apel
chybí hrana	Apis	apis
chybí hrana	Apollo	apollo
chybí hrana	Apostata	apostata
chybí hrana	Aprilia	aprilia
chybí hrana	Apus	apus
chybí hrana	Aquadrom	aquadrom
chybí hrana	Ara	ara
chybí hrana	Araucaria	araucaria
chybí hrana	Arba	arba
chybí hrana	Arbor	arbor
chybí hrana	Arch	arch
chybí hrana	Archeopark	archeopark
chybí hrana	Archeoskanzen	archeoskanzen
chybí hrana	Arena	arena
chybí hrana	Arenda	arenda
chybí hrana	Areál	areál
chybí hrana	Argentina	argentina
chybí hrana	Argo	argo
chybí hrana	Argonaut	argonaut
chybí hrana	Argus	argus
chybí hrana	Arista	arista
chybí hrana	Arma	arma
chybí hrana	Armageddon	armageddon
chybí hrana	Armagnac	armagnac
chybí hrana	Arnika	arnika
chybí hrana	Aroma	aroma
chybí hrana	Aromaticum	aromaticum
chybí hrana	Aron	aron
chybí hrana	Arsenal	arsenal
chybí hrana	Art	art
chybí hrana	Artkino	artkino
chybí hrana	Aspirin	aspirin
chybí hrana	Assis	assis
chybí hrana	Astacus	astacus
chybí hrana	Astra	astra
chybí hrana	Astronium	astronium
chybí hrana	Atalanta	atalanta
