*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	Alfons	Alfonz
hrana	Alfonso	Alfonzo
hrana	Alfonsův	Alfonzův
hrana	Ambros	Ambroz
hrana	Ambrosová	Ambrozová
hrana	Ambrosův	Ambrozův
hrana	Betelgeuse	Betelgeuze
hrana	Bousov	Bouzov
hrana	Chasbulatov	Chazbulatov
hrana	Efesan	Efezan
hrana	Elisabeth	Elizabeth
hrana	Esop	Ezop
hrana	Esposito	Espozito
hrana	Espositův	Espozitův
hrana	Gomés	Goméz
hrana	Gomésův	Gomézův
hrana	Hortensie	Hortenzie
hrana	Iser	Izer
hrana	Israel	Izrael
hrana	Israelcův	Izraelcův
hrana	Israelec	Izraelec
hrana	Israelkynin	Izraelkynin
hrana	Israelkyně	Izraelkyně
hrana	Josef	Jozef
hrana	Josefínin	Jozefínin
hrana	Kaiser	Kaizer
hrana	Karmasin	Karmazin
hrana	Keiser	Keizer
hrana	Marisa	Mariza
hrana	Mosambik	Mozambik
hrana	Mosambičan	Mozambičan
hrana	Spinosa	Spinoza
hrana	Trismus	Trizmus
hrana	abolicionismus	abolicionizmus
hrana	abrase	abraze
hrana	abrasivní	abrazivní
hrana	abscise	abscize
hrana	absolutismus	absolutizmus
hrana	abstrakcionismus	abstrakcionizmus
hrana	abstraktivismus	abstraktivizmus
hrana	absurdismus	absurdizmus
hrana	achromatismus	achromatizmus
hrana	adamismus	adamizmus
hrana	adenosintrifosfát	adenozintrifosfát
hrana	adhesivum	adhezivum
hrana	adhesní	adhezní
hrana	adventismus	adventizmus
hrana	aerodynamismus	aerodynamizmus
hrana	aforismus	aforizmus
hrana	afrodisiakum	afrodiziakum
hrana	ageismus	ageizmus
hrana	agnosticismus	agnosticizmus
hrana	agrarismus	agrarizmus
hrana	ahistorismus	ahistorizmus
hrana	akademismus	akademizmus
hrana	akinesie	akinezie
hrana	aklimatisace	aklimatizace
hrana	akméismus	akméizmus
hrana	aktivisace	aktivizace
hrana	aktivismus	aktivizmus
hrana	aktivisovací	aktivizovací
hrana	aktivisovanost	aktivizovanost
hrana	aktivisovaný	aktivizovaný
hrana	aktivisovaně	aktivizovaně
hrana	aktivisovat	aktivizovat
hrana	aktivisovatelnost	aktivizovatelnost
hrana	aktivisovatelný	aktivizovatelný
hrana	aktivisovatelně	aktivizovatelně
hrana	aktivisování	aktivizování
hrana	aktivisovávací	aktivizovávací
hrana	aktivisovávající	aktivizovávající
hrana	aktivisovávanost	aktivizovávanost
hrana	aktivisovávaný	aktivizovávaný
hrana	aktivisovávaně	aktivizovávaně
hrana	aktivisovávat	aktivizovávat
hrana	aktivisovávatelnost	aktivizovávatelnost
hrana	aktivisovávatelný	aktivizovávatelný
hrana	aktivisovávatelně	aktivizovávatelně
hrana	aktivisovávání	aktivizovávání
hrana	aktivisující	aktivizující
hrana	aktomyosinovost	aktomyozinovost
hrana	aktomyosinový	aktomyozinový
hrana	aktualisace	aktualizace
hrana	aktualisační	aktualizační
hrana	aktualisačně	aktualizačně
hrana	aktualisovací	aktualizovací
hrana	aktualisovanost	aktualizovanost
hrana	aktualisovaný	aktualizovaný
hrana	aktualisovaně	aktualizovaně
hrana	aktualisovat	aktualizovat
hrana	aktualisovatelnost	aktualizovatelnost
hrana	aktualisovatelný	aktualizovatelný
hrana	aktualisovatelně	aktualizovatelně
hrana	aktualisovavší	aktualizovavší
hrana	aktualisování	aktualizování
hrana	aktualisovávací	aktualizovávací
hrana	aktualisovávající	aktualizovávající
hrana	aktualisovávanost	aktualizovávanost
hrana	aktualisovávaný	aktualizovávaný
hrana	aktualisovávaně	aktualizovávaně
hrana	aktualisovávat	aktualizovávat
hrana	aktualisovávatelnost	aktualizovávatelnost
hrana	aktualisovávatelný	aktualizovávatelný
hrana	aktualisovávatelně	aktualizovávatelně
hrana	aktualisovávání	aktualizovávání
hrana	aktualisující	aktualizující
hrana	akusační	akuzační
hrana	akusačně	akuzačně
hrana	akvisice	akvizice
hrana	alarmismus	alarmizmus
hrana	albinismus	albinizmus
hrana	alegorismus	alegorizmus
hrana	alexandrinismus	alexandrinizmus
hrana	alibismus	alibizmus
hrana	alkalisovací	alkalizovací
hrana	alkalisovanost	alkalizovanost
hrana	alkalisovaný	alkalizovaný
hrana	alkalisovaně	alkalizovaně
hrana	alkalisovat	alkalizovat
hrana	alkalisovatelnost	alkalizovatelnost
hrana	alkalisovatelný	alkalizovatelný
hrana	alkalisovatelně	alkalizovatelně
hrana	alkalisování	alkalizování
hrana	alkalisovávací	alkalizovávací
hrana	alkalisovávající	alkalizovávající
hrana	alkalisovávanost	alkalizovávanost
hrana	alkalisovávaný	alkalizovávaný
hrana	alkalisovávaně	alkalizovávaně
hrana	alkalisovávat	alkalizovávat
hrana	alkalisovávatelnost	alkalizovávatelnost
hrana	alkalisovávatelný	alkalizovávatelný
