*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*tato dvojice slov není nijak příbuzná	86.14886731391586
*rodičem v tom vztahu je slovo neobsahující zkoumané 'h'	8.30636461704423
*rodičem v tomto vztahu je slovo obsahující 'h' navíc	5.501618122977346
*tato dvojice slov je příbuzná, ale ne napřímo	0.043149946062567425
*
*tato dvojice slov není nijak příbuzná
*chybí hrana	slovo	slovo
chybí hrana	Aahlen	Aalen
chybí hrana	Abdallah	Abdalla
chybí hrana	Abdullah	Abdulla
chybí hrana	Abhaj	Abaj
chybí hrana	Abhajův	Abajův
chybí hrana	Abhay	Abay
chybí hrana	Abrham	Abram
chybí hrana	Abrhamová	Abramová
chybí hrana	Abrhamův	Abramův
chybí hrana	Abrhám	Abrám
chybí hrana	Abrhámův	Abrámův
chybí hrana	Aceh	Ace
chybí hrana	Ache	Ace
chybí hrana	Acher	Acer
chybí hrana	Acherův	Acerův
chybí hrana	Afghanistán	Afganistán
chybí hrana	Afgháncův	Afgáncův
chybí hrana	Afghánec	Afgánec
chybí hrana	Afghánistan	Afgánistan
chybí hrana	Afghánistán	Afgánistán
chybí hrana	Agatha	Agata
chybí hrana	Agha	Aga
chybí hrana	Aghův	Agův
chybí hrana	Agostinho	Agostino
chybí hrana	Agostinhův	Agostinův
chybí hrana	Agrotech	Agrotec
chybí hrana	Aha	Aa
chybí hrana	Aharon	Aaron
chybí hrana	Aharonovič	Aaronovič
chybí hrana	Aharonovičův	Aaronovičův
chybí hrana	Aharonův	Aaronův
chybí hrana	Ahdal	Adal
chybí hrana	Ahlen	Alen
chybí hrana	Ahlm	Alm
chybí hrana	Ahlí	Alí
chybí hrana	Ahmadův	Amadův
chybí hrana	Ahman	Aman
chybí hrana	Ahmannová	Amannová
chybí hrana	Ahmanův	Amanův
chybí hrana	Ahmar	Amar
chybí hrana	Ahmarův	Amarův
chybí hrana	Ahmet	Amet
chybí hrana	Ahmetův	Ametův
chybí hrana	Ahmosův	Amosův
chybí hrana	Ahne	Ane
chybí hrana	Ahrend	Arend
chybí hrana	Ahrendtová	Arendtová
chybí hrana	Ahsha	Asha
chybí hrana	Ahti	Ati
chybí hrana	Ahtila	Atila
chybí hrana	Ahura	Aura
chybí hrana	Aigisthův	Aigistův
chybí hrana	Akha	Aka
chybí hrana	Alehův	Aleův
chybí hrana	Alpha	Alpa
chybí hrana	Alphen	Alpen
chybí hrana	Altech	Altec
chybí hrana	Althan	Altan
chybí hrana	Althea	Altea
chybí hrana	Amhara	Amara
chybí hrana	Amharův	Amarův
chybí hrana	Amish	Amis
chybí hrana	Amishův	Amisův
chybí hrana	Anghel	Angel
