*slova s delšími a méně častými rodiči
*přebývá hrana	zkoumané slovo	nalezené slovo
přebývá hrana	architekt	architektura
přebývá hrana	Alexa	Aleksandra
přebývá hrana	Alex	Aleksandr
přebývá hrana	Saša	Aleksandr
přebývá hrana	Betlém	Bethlehem
přebývá hrana	Katka	Katarina
přebývá hrana	Květa	Květoslava
přebývá hrana	Naďa	Naděžda
přebývá hrana	Ussuri	Ussurijsk
přebývá hrana	Vlaďka	Vladislava
přebývá hrana	antropolog	anthropologie
přebývá hrana	asketik	asketizmus
přebývá hrana	astronaut	astronautika
přebývá hrana	atlet	atletika
přebývá hrana	autokemp	autokempink
přebývá hrana	biorobot	biorobotika
přebývá hrana	botox	botulotoxin
přebývá hrana	bráhmana	bráhmanizmus
přebývá hrana	šoubyznys	showbusiness
přebývá hrana	cer	cerium
přebývá hrana	lama	dalajlama
přebývá hrana	diagnóza	diagnostika
přebývá hrana	kosmonaut	kosmonautika
přebývá hrana	landkrabě	landkrabství
přebývá hrana	mamograf	mammografie
přebývá hrana	medik	medicina
přebývá hrana	mim	mimika
přebývá hrana	neoliberál	neoliberalizmus
přebývá hrana	novoromantik	novoromantizmus
přebývá hrana	nudař	nudizmus
přebývá hrana	pastor	pastorace
přebývá hrana	patolog	pathologie
přebývá hrana	pedagog	pedagogika
přebývá hrana	pitbull	pitbullteriér
přebývá hrana	pošťák	doručovatel
přebývá hrana	rychlofiltr	rychlofiltrace
přebývá hrana	sestra	sestřenec
přebývá hrana	trága	tragedia
přebývá hrana	ultraliberál	ultraliberalizmus
přebývá hrana	vehikl	vehikulum
