*slova podobně krátká jako rodič, ale začínají na jiné písmeno
*jedna skupina: seznam hran, které vypadají vachrlatě
*přebývá hrana	zkoumané slovo	roidč
přebývá hrana	socdemák	demokrat
přebývá hrana	Ábelův	Abelesův
přebývá hrana	érovka	aerovka
přebývá hrana	Leksa	Aleksandr
přebývá hrana	Saša	Aleksandr
přebývá hrana	Běta	Alžběta
přebývá hrana	Ondřej	Andrej
přebývá hrana	Tonka	Antonie
přebývá hrana	Tonda	Antonín
přebývá hrana	Ázie	Asie
přebývá hrana	Ázerbájdžán	Azerbajdžan
přebývá hrana	Mumbaí	Bombaj
přebývá hrana	čabajský	Békéscaba
přebývá hrana	Kamerunec	Cameroun
přebývá hrana	Kamerunka	Cameroun
přebývá hrana	Karolinin	Carolina
přebývá hrana	kararský	Carrara
přebývá hrana	Kasiopeja	Cassiopea
přebývá hrana	Kasiopejin	Cassiopea
přebývá hrana	Kastór	Castor
přebývá hrana	kajenský	cayennský
přebývá hrana	Kefeus	Cepheus
přebývá hrana	šampaňský	Champagne
přebývá hrana	čilský	Chile
přebývá hrana	hrvatský	Chorvatsko
přebývá hrana	Zürich	Curich
přebývá hrana	Zürych	Curich
přebývá hrana	kyrilika	cyrilice
přebývá hrana	fúrský	Darfur
přebývá hrana	kartézský	Descartes
přebývá hrana	Ajnštajn	Einstein
přebývá hrana	Philon	Filón
přebývá hrana	Phoebus	Foibos
přebývá hrana	Gniezno	Hnězdno
přebývá hrana	Íránka	Iránec
přebývá hrana	Jasonův	Iásónův
přebývá hrana	Jason	Iásón
přebývá hrana	Ekaterinburg	Jekatěrinburg
přebývá hrana	žerzej	Jersey
přebývá hrana	Ión	Jon
přebývá hrana	Hélius	Julius
přebývá hrana	Cayuga	Kajuga
přebývá hrana	Culicat	Kalikat
přebývá hrana	Qom	Komm
přebývá hrana	ňasky	njasky
přebývá hrana	ňaský	njaský
přebývá hrana	Ňasko	Njasa
přebývá hrana	poněmčit	německý
přebývá hrana	Bonifác	Pankrác
přebývá hrana	Šele	Schelle
přebývá hrana	šerlok	Sherlock
přebývá hrana	jihotádžický	Tádžikistán
přebývá hrana	Voršila	Ursula
přebývá hrana	Warszaw	Varšava
přebývá hrana	Velšan	Wales
přebývá hrana	jorkširský	Yorkshire
přebývá hrana	yorkshirskost	jorkširskost
přebývá hrana	yorkshirsky	jorkširsky
přebývá hrana	yorkshirský	jorkširský
přebývá hrana	eter	aithér
přebývá hrana	ether	aithér
přebývá hrana	éter	aithér
přebývá hrana	éterový	aithér
přebývá hrana	éther	aithér
přebývá hrana	árijec	arijský
přebývá hrana	árijství	arijský
přebývá hrana	árón	aron
přebývá hrana	ubezpečit	bezpečný
přebývá hrana	poblíž	blízko
přebývá hrana	dělbuch	bouchat
přebývá hrana	mravenčit	brabenec
přebývá hrana	mravenčí	brabenec
přebývá hrana	obrnit	brnění
přebývá hrana	obrna	brnět
přebývá hrana	rozbroj	brojit
přebývá hrana	obrana	bránit
přebývá hrana	zbraň	bránit
přebývá hrana	šoubyznys	showbusiness
přebývá hrana	obušek	bušit
přebývá hrana	obydlí	bydlet
přebývá hrana	zbadat	bádat
přebývá hrana	úběl	bílý
přebývá hrana	úbyt	ubýt
přebývá hrana	úbytě	ubýt
přebývá hrana	ubíhat	běhat
přebývá hrana	úběžný	ubíhat
přebývá hrana	sbíhat	běžet
přebývá hrana	zbíhat	běžet
přebývá hrana	zběžný	běžet
přebývá hrana	kempově	campový
přebývá hrana	camping	kempink
přebývá hrana	kemp	camp
přebývá hrana	kapučíno	cappuccino
přebývá hrana	kartridž	cartridge
přebývá hrana	zcela	cele
přebývá hrana	vcelku	celek
přebývá hrana	dcérka	cerka
přebývá hrana	dceř	cera
přebývá hrana	dcéra	cera
přebývá hrana	scestí	cesta
přebývá hrana	zcestí	cesta
přebývá hrana	kalifát	chalífát
přebývá hrana	kalifův	chalífův
přebývá hrana	kalif	chalífa
přebývá hrana	kalifka	chalífa
přebývá hrana	scípanost	chcípaný
přebývá hrana	scípaně	chcípaný
přebývá hrana	scípatelnost	chcípatelný
přebývá hrana	scípatelně	chcípatelný
přebývá hrana	scíple	chcíple
přebývá hrana	scíplý	chcíplý
přebývá hrana	scípnutelnost	chcípnutelný
přebývá hrana	scípnutelně	chcípnutelný
přebývá hrana	scípnutost	chcípnutý
přebývá hrana	scípnutě	chcípnutý
přebývá hrana	scípávací	chcípávat
přebývá hrana	scípávaný	chcípávat
přebývá hrana	scípávání	chcípávat
přebývá hrana	scípací	chcípat
přebývá hrana	scípat	chcípat
přebývá hrana	čmýří	chmýří
přebývá hrana	pochop	chopit
přebývá hrana	schopný	chopit
přebývá hrana	úchop	uchopit
přebývá hrana	úschovna	uschovat
přebývá hrana	úschovné	uschovat
přebývá hrana	pochrupat	chroupat
přebývá hrana	vychrupat	chroupat
přebývá hrana	schrána	chránit
přebývá hrana	zpochybnit	pochybovat
přebývá hrana	úchyt	uchytit
přebývá hrana	úchytka	uchytit
přebývá hrana	úchyl	uchýlit
přebývá hrana	úchylka	uchýlit
přebývá hrana	klírens	clearance
přebývá hrana	klíring	clearing
přebývá hrana	klikat	click
přebývá hrana	proklik	kliknout
přebývá hrana	koka	coca
přebývá hrana	kolegijní	collegium
přebývá hrana	kolegiátní	collegium
přebývá hrana	kolégium	collegium
přebývá hrana	kolon	colón
přebývá hrana	kolon	colón
přebývá hrana	kólon	colón
přebývá hrana	kompjútr	computer
přebývá hrana	konkvistador	conquistador
přebývá hrana	korida	corrida
přebývá hrana	kurt	court
přebývá hrana	kovboj	cowboy
přebývá hrana	ucpat	cpát
přebývá hrana	krekr	cracker
přebývá hrana	necuda	cudný
přebývá hrana	smrtit	cítit
přebývá hrana	tištit	cítit
přebývá hrana	lama	dalajlama
přebývá hrana	vzdál	daleko
přebývá hrana	nezdara	zdárný
přebývá hrana	neska	dnes
přebývá hrana	vděk	dik
přebývá hrana	odispenzarizovat	dispensarisovat
přebývá hrana	zdispenzarizovat	dispensarisovat
přebývá hrana	podél	dlouhý
přebývá hrana	zdéli	dlouhý
přebývá hrana	údobí	doba
přebývá hrana	lepšit	dobrý
přebývá hrana	zdůli	důle
přebývá hrana	zdola	dole
přebývá hrana	oudolí	údolí
přebývá hrana	buly	dout
přebývá hrana	nadranc	drancovat
přebývá hrana	odrat	drát
přebývá hrana	nádrž	držet
přebývá hrana	údržba	udržovat
přebývá hrana	zjednodušit	jednoduchý
přebývá hrana	zdvojnásobit	dvojnásobný
přebývá hrana	zdálky	dálka
přebývá hrana	udat	dát
přebývá hrana	údaj	udat
přebývá hrana	úděl	udělit
přebývá hrana	zděř	díra
přebývá hrana	ďoura	díra
přebývá hrana	odiv	divit
přebývá hrana	ďouče	dívka
přebývá hrana	vzdychat	dechnout
přebývá hrana	záducha	dýchat
přebývá hrana	neděle	dělat
přebývá hrana	pondělí	neděle
přebývá hrana	jammovat	džemovat
přebývá hrana	najamovat	jammovat
přebývá hrana	odjamovat	jammovat
přebývá hrana	zajamovat	jammovat
přebývá hrana	jamovat	džemovat
přebývá hrana	jam	džem
přebývá hrana	gentlemansky	džentlmenský
přebývá hrana	gentlemanský	džentlmenský
přebývá hrana	gentlemanství	džentlmenský
přebývá hrana	gentlemanův	džentlmenův
přebývá hrana	gentleman	džentlmen
přebývá hrana	gentry	džentry
přebývá hrana	jazzový	džezový
přebývá hrana	jazzově	džezový
přebývá hrana	jazz	džez
přebývá hrana	jazzman	džezman
přebývá hrana	jazzovat	džezovat
přebývá hrana	gin	džin
přebývá hrana	judistka	džudista
přebývá hrana	judistův	džudista
přebývá hrana	judo	džudo
přebývá hrana	juice	džus
přebývá hrana	ampír	empir
přebývá hrana	estetizmus	aesthetický
přebývá hrana	estetizovat	aesthetický
přebývá hrana	estetično	aesthetický
přebývá hrana	estetičnost	aesthetický
přebývá hrana	estét	aesthetický
přebývá hrana	éticky	ethicky
přebývá hrana	étickost	ethický
přebývá hrana	étický	ethický
přebývá hrana	étos	ethos
přebývá hrana	matfyz	fyzikální
přebývá hrana	physiologie	fyziologie
přebývá hrana	ohanbí	hanba
přebývá hrana	nahašovat	hashovat
přebývá hrana	zhašovat	hashovat
přebývá hrana	storka	historka
