*dohledaná slova, která mají stejnou podčást jako potomci daného affixoidu
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	-acid-	acidobazický
chybí hrana	-acid-	acidofobie
chybí hrana	-acid-	acidifikovaný
chybí hrana	-acid-	acidifikovávaný
chybí hrana	-acid-	acidifikovávanost
chybí hrana	-acid-	acidifikace
chybí hrana	-acid-	metaacidit
chybí hrana	-acid-	acidita
chybí hrana	-acid-	acidifikující
chybí hrana	-acid-	acidifikování
chybí hrana	-acid-	acidofyt
chybí hrana	-acid-	acidophilus
chybí hrana	-acid-	acidifikovávání
chybí hrana	-acid-	acidóza
chybí hrana	-acid-	acidifikovaně
chybí hrana	-acid-	acidofilie
chybí hrana	-acid-	acidifikovávatelnost
chybí hrana	-acid-	acidní
chybí hrana	-acid-	acidifikovávatelně
chybí hrana	-acid-	acidifikovací
chybí hrana	-acid-	acidifikovatelně
chybí hrana	-acid-	acidifikovatelný
chybí hrana	-acid-	acidifikovávající
chybí hrana	-acid-	hyperacidita
chybí hrana	-acid-	acidifikovatelnost
chybí hrana	-acid-	acidifikovávatelný
chybí hrana	-acid-	acidobazickost
chybí hrana	-acid-	acidifikovat
chybí hrana	-acid-	polyacid
chybí hrana	-acid-	acidobazicky
chybí hrana	-acid-	acidifikovanost
chybí hrana	-acid-	acidifikovávat
chybí hrana	-acid-	acidum
chybí hrana	-acid-	acidně
chybí hrana	-acid-	acidifikovávaně
chybí hrana	-acid-	acidofilně
chybí hrana	-acid-	acidofilní
chybí hrana	-acid-	acidifikovávací
chybí hrana	-aden-	periadenitis
chybí hrana	-aden-	periadenitida
chybí hrana	-aden-	adenin
chybí hrana	-aden-	adeninribonukleotid
chybí hrana	-aden-	polyadenitida
chybí hrana	-aden-	adenokankroid
chybí hrana	-aden-	adenovir
chybí hrana	-aden-	adenokarcinom
chybí hrana	-aero-	aerokvětě
chybí hrana	-aero-	aeromagneticky
chybí hrana	-aero-	aero
chybí hrana	-aero-	aeromotorickost
chybí hrana	-aero-	aeronomicky
chybí hrana	-aero-	aerofyt
chybí hrana	-aero-	aerodynamismus
chybí hrana	-aero-	aeroskop
chybí hrana	-aero-	aerodymanický
chybí hrana	-aero-	aerodynamický
chybí hrana	-aero-	aerostaticky
chybí hrana	-aero-	aerobusový
chybí hrana	-aero-	aeromechanickost
chybí hrana	-aero-	aerovlak
chybí hrana	-aero-	aerotaxový
chybí hrana	-aero-	aerogen
chybí hrana	-aero-	aerologicky
chybí hrana	-aero-	aeroalergen
chybí hrana	-aero-	aerologie
chybí hrana	-aero-	aerodynamizmus
chybí hrana	-aero-	aerodynamičnost
chybí hrana	-aero-	aerokvětost
chybí hrana	-aero-	aerolinka
chybí hrana	-aero-	aeroklub
chybí hrana	-aero-	aerotaxi
chybí hrana	-aero-	aeroholding
chybí hrana	-aero-	aeroplán
chybí hrana	-aero-	aerosalón
chybí hrana	-aero-	aerolinie
chybí hrana	-aero-	aeronomickost
chybí hrana	-aero-	aerobusově
chybí hrana	-aero-	aeronautčin
chybí hrana	-aero-	aeronomický
chybí hrana	-aero-	aerotaxově
chybí hrana	-aero-	mikroaerofilně
chybí hrana	-aero-	aerovýlet
chybí hrana	-aero-	aeroklimatologie
chybí hrana	-aero-	aerolinkově
chybí hrana	-aero-	aerogel
chybí hrana	-aero-	aeromotorický
chybí hrana	-aero-	aerolinkovost
chybí hrana	-aero-	aerodymanickost
chybí hrana	-aero-	aerofon
chybí hrana	-aero-	aeronautika
chybí hrana	-aero-	aeromechanika
chybí hrana	-aero-	aerotryska
chybí hrana	-aero-	aerometr
chybí hrana	-aero-	aeromechanicky
chybí hrana	-aero-	aeromagnetometr
chybí hrana	-aero-	aeronautickost
chybí hrana	-aero-	aeronautův
chybí hrana	-aero-	aerodymanicky
chybí hrana	-aero-	aeroplankton
chybí hrana	-aero-	aeroport
chybí hrana	-aero-	aerostatický
chybí hrana	-aero-	aeronauticky
chybí hrana	-aero-	aerobusovost
chybí hrana	-aero-	aerokvětý
chybí hrana	-aero-	aerosolovost
chybí hrana	-aero-	aerolinkový
chybí hrana	-aero-	aerobioskop
chybí hrana	-aero-	aerovlek
chybí hrana	-aero-	aeronomie
chybí hrana	-aero-	aeromagnetický
chybí hrana	-aero-	aerodyn
chybí hrana	-aero-	aeronaut
chybí hrana	-aero-	aeroradiometrickost
chybí hrana	-aero-	aeroradiometricky
chybí hrana	-aero-	aerogravimetrie
chybí hrana	-aero-	aerodynamickost
chybí hrana	-aero-	aeromotoricky
chybí hrana	-aero-	aerodrom
chybí hrana	-aero-	aerologickost
chybí hrana	-aero-	aeroradiometrie
chybí hrana	-aero-	aeromagnetometrie
chybí hrana	-aero-	aeronautka
chybí hrana	-aero-	aerodynamicky
chybí hrana	-aero-	mikroaerofilní
chybí hrana	-aero-	aerodynamika
chybí hrana	-aero-	aerostatika
chybí hrana	-aero-	aeronautický
chybí hrana	-aero-	aerosalon
chybí hrana	-aero-	aeroakrobacie
chybí hrana	-aero-	aerotaxovost
chybí hrana	-aero-	aeromagnetickost
chybí hrana	-aero-	aeroshow
chybí hrana	-aero-	aeroradiometrický
chybí hrana	-aero-	aerostatickost
chybí hrana	-aero-	aerologický
chybí hrana	-aero-	aerofobie
chybí hrana	-aero-	aeroponie
