*osamocená číslovková příslovce
*existuje jeden možný rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	naosedmé	sedm
chybí hrana	naosmé	osmý
chybí hrana	napodesáté	podesáté
chybí hrana	napodeváté	podeváté
chybí hrana	napodvacáté	podvacáté
chybí hrana	napojedenácté	pojedenácté
chybí hrana	napokolikáté	pokolikáté
chybí hrana	naponěkolikáté	poněkolikáté
chybí hrana	naposedmnácté	posedmnácté
chybí hrana	napotřinácté	potřinácté
chybí hrana	napočtvrté	počtvrté
chybí hrana	napošesté	pošesté
chybí hrana	podesáté	desátý
chybí hrana	podevadesáté	devadesátý
chybí hrana	podevatenácté	devatenáctý
chybí hrana	podeváté	devátý
chybí hrana	podevětadvacáté	devětadvacátý
chybí hrana	podevětapadesáté	devětapadesátý
chybí hrana	podevětatřicáté	devětatřicátý
chybí hrana	podevětačtyřicáté	devětačtyřicátý
chybí hrana	podvaadvacáté	dvaadvacátý
chybí hrana	podvaaosmdesáté	dvaaosmdesátý
chybí hrana	podvaapadesáté	dvaapadesátý
chybí hrana	podvaasedmdesáté	dvaasedmdesátý
chybí hrana	podvaatřicáté	dvaatřicátý
chybí hrana	podvaačtyřicáté	dvaačtyřicátý
chybí hrana	podvaašedesáté	dvaašedesátý
chybí hrana	podvacáté	dvacátý
chybí hrana	podvanácté	dvanáctý
chybí hrana	podvousté	dvoustý
chybí hrana	pojedenadvacáté	jedenadvacátý
chybí hrana	pojedenaosmdesáté	jedenaosmdesátý
chybí hrana	pojedenapadesáté	jedenapadesátý
chybí hrana	pojedenasedmdesáté	jedenasedmdesátý
chybí hrana	pojedenatřicáté	jedenatřicátý
chybí hrana	pojedenačtyřicáté	jedenačtyřicátý
chybí hrana	pojedenašedesáté	jedenašedesátý
chybí hrana	pojedenácté	jedenáctý
chybí hrana	pojednadvacáté	jednadvacátý
chybí hrana	pojednapadesáté	jednapadesátý
chybí hrana	pojednasedmdesáté	jednasedmdesátý
chybí hrana	pojednatřicáté	jednatřicátý
chybí hrana	pojednačtyřicáté	jednačtyřicátý
chybí hrana	pojednašedesáté	jednašedesátý
chybí hrana	pokaždé	každý
chybí hrana	pokolikáté	kolikátý
chybí hrana	poosmadevadesáté	osmadevadesátý
chybí hrana	poosmadvacáté	osmadvacátý
chybí hrana	poosmapadesáté	osmapadesátý
chybí hrana	poosmasedmdesáté	osmasedmdesátý
chybí hrana	poosmatřicáté	osmatřicátý
chybí hrana	poosmačtyřicáté	osmačtyřicátý
chybí hrana	poosmašedesáté	osmašedesátý
chybí hrana	poosmdesáté	osmdesátý
chybí hrana	poosmnácté	osmnáctý
chybí hrana	poosmé	osmý
chybí hrana	popadesáté	padesátý
chybí hrana	popatnácté	patnáctý
chybí hrana	poprvé	prvý
chybí hrana	popátnácté	patnáct
chybí hrana	popáté	pátý
chybí hrana	popětadvacáté	pětadvacátý
chybí hrana	popětaosmdesáté	pětaosmdesátý
chybí hrana	popětapadesáté	pětapadesátý
chybí hrana	popětasedmdesáté	pětasedmdesátý
chybí hrana	popětatřicáté	pětatřicátý
chybí hrana	popětačtyřicáté	pětačtyřicátý
chybí hrana	popětašedesáté	pětašedesátý
chybí hrana	popětisté	pětistý
chybí hrana	posedmadvacáté	sedmadvacátý
chybí hrana	posedmapadesáté	sedmapadesátý
chybí hrana	posedmasedmdesáté	sedmasedmdesátý
