*osamocené číslovky končící na 'ero', 'erý', 'krát', 'istý'
*nalezený předek
*chybí hrana	zkoumané slovo	nalezené slovo'
*
chybí hrana	bezpočetkrát	bezpočet
chybí hrana	bezpočetněkrát	bezpočetně
chybí hrana	bilionkrát	bilion
chybí hrana	biliónkrát	bilión
chybí hrana	bůhvíkolikrát	bůhvíkolik
chybí hrana	desatero	deset
chybí hrana	desaterý	deset
chybí hrana	desetimiliardkrát	deset
chybí hrana	desetimiliónkrát	desetimilión
chybí hrana	desetitisíckrát	desetitisíc
chybí hrana	desetkrát	deset
chybí hrana	desettisíckrát	desettisíc
chybí hrana	devadesatero	devadesát
chybí hrana	devadesaterý	devadesát
chybí hrana	devatero	devět
chybí hrana	devaterý	devět
chybí hrana	devítistý	sto
chybí hrana	devítitisíckrát	tisíc
chybí hrana	devětadvacetkrát	devětadvacet
chybí hrana	devětačtyřicetkrát	devětačtyřicet
chybí hrana	devětkrát	devět
chybí hrana	devětsetkrát	devětset
chybí hrana	dostkrát	dost
chybí hrana	dvaadvacetkrát	dvaadvacet
chybí hrana	dvaapůlkrát	dvaapůl
chybí hrana	dvaapůltisíckrát	dvaapůltisíc
chybí hrana	dvaatřicetkrát	dvaatřicet
chybí hrana	dvaačtyřicetkrát	dvaačtyřicet
chybí hrana	dvacatero	dva
chybí hrana	dvacaterý	dva
chybí hrana	dvacetdvakrát	dvacet
chybí hrana	dvacetkrát	dvacet
chybí hrana	dvakrát	dva
chybí hrana	dvanáctsetkrát	dvanáct
chybí hrana	dvoumiliónkrát	dvoumilión
chybí hrana	dvěstěkrát	dvěstě
chybí hrana	hodněkrát	hodně
chybí hrana	ikskrát	iks
chybí hrana	jedenapůlkrát	jedenapůl
chybí hrana	jedenatřicetkrát	jedenatřicet
chybí hrana	jedenačtyřicetkrát	jedenačtyřicet
chybí hrana	jedenkrát	jeden
chybí hrana	jedentisícdevětsetčtyřicetsedmkrát	jedentisícdevětsetčtyřicetsedm
chybí hrana	jedenáctsetkrát	jedenáct
chybí hrana	jednasedmdesátkrát	jednasedmdesát
chybí hrana	jednačtyřicetkrát	jednačtyřicet
chybí hrana	kolikero	kolik
chybí hrana	kolikerý	kolik
chybí hrana	kolikrát	kolik
chybí hrana	kvadrilionkrát	kvadrilion
chybí hrana	kvadriliónkrát	kvadrilión
chybí hrana	libovolněkrát	libovolně
chybí hrana	miliónkrát	milión
chybí hrana	mnohokrát	mnoho
chybí hrana	mnohosetkrát	mnoho
chybí hrana	mockrát	moc
chybí hrana	málokrát	málo
chybí hrana	méněkrát	méně
chybí hrana	nastokrát	sto
chybí hrana	natisíckrát	tisíc
chybí hrana	nejedenkrát	nejeden
chybí hrana	nespočetkrát	nespočet
chybí hrana	nesčetněkrát	nesčetně
chybí hrana	nesčíselněkrát	nesčíselně
chybí hrana	nesčíslněkrát	nesčíslně
chybí hrana	několikero	několik
chybí hrana	několikerý	několik
chybí hrana	několikrát	několik
chybí hrana	několiksetkrát	několik
chybí hrana	obakrát	oba
chybí hrana	osmadvacetkrát	osmadvacet
chybí hrana	osmatřicetkrát	osmatřicet
chybí hrana	osmačtyřicetkrát	osmačtyřicet
chybí hrana	osmdesátpětkrát	osmdesátpět
chybí hrana	osmsetkrát	osmset
chybí hrana	padesátpětkrát	padesátpět
chybí hrana	patero	pat
chybí hrana	paterý	pat
chybí hrana	podvakrát	dva
chybí hrana	potřikrát	tři
chybí hrana	párkrát	pár
chybí hrana	pětadvacetkrát	pětadvacet
chybí hrana	pětatřicetkrát	pětatřicet
chybí hrana	pětačtyřicetkrát	pětačtyřicet
chybí hrana	pětkrát	pět
chybí hrana	pětsetkrát	pětset
chybí hrana	půlkrát	půl
chybí hrana	sebevícekrát	sebevíce
chybí hrana	sedmadvacetkrát	sedmadvacet
chybí hrana	sedmadvacetmiliardkrát	sedmadvacet
chybí hrana	sedmatřicetkrát	sedmatřicet
chybí hrana	sedmačtyřicetkrát	sedmačtyřicet
chybí hrana	sedmisetkrát	sedm
chybí hrana	sedmsetkrát	sedmset
chybí hrana	stejněkrát	stejně
chybí hrana	stero	sto
chybí hrana	sterý	sto
