*opuštěná slova končící na 'vka', 'čka', 'nka', 'žka', 'ka'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	Abchazka	Abchaz
chybí hrana	Abcházka	Abcház
chybí hrana	Ajka	Aj
chybí hrana	Alarika	Alari
chybí hrana	Alejka	Alejo
chybí hrana	Aleška	Aleš
chybí hrana	Alfredka	Alfred
chybí hrana	Alika	Ali
chybí hrana	Alžbětinka	Alžbětin
chybí hrana	Amandka	Amanda
chybí hrana	Angelika	Angeli
chybí hrana	Aninka	Anina
chybí hrana	Antonínka	Antonín
chybí hrana	Ančička	Ančič
chybí hrana	Argentinka	Argentina
chybí hrana	Arnoštka	Arnošt
chybí hrana	Aromka	Aromi
chybí hrana	Aska	Aso
chybí hrana	Astonka	Aston
chybí hrana	Astorka	Astor
chybí hrana	Atika	Ati
chybí hrana	Atoka	Ato
chybí hrana	Augustýnka	Augustýn
chybí hrana	Aška	Aš
chybí hrana	Aťka	Aťa
chybí hrana	Bakalka	Bakal
chybí hrana	Balaka	Bala
chybí hrana	Balinka	Baliny
chybí hrana	Ballantinka	Ballantine
chybí hrana	Bangka	Bang
chybí hrana	Baraka	Bara
chybí hrana	Bartoňka	Bartoň
chybí hrana	Bastienka	Bastien
chybí hrana	Bačovka	Bačov
chybí hrana	Baďurka	Baďura
chybí hrana	Bařinka	Bařina
chybí hrana	Baška	Baše
chybí hrana	Baštinka	Baština
chybí hrana	Bechyňka	Bechyňa
chybí hrana	Belcredka	Belcredi
chybí hrana	Beneška	Beneš
chybí hrana	Benešovka	Benešov
chybí hrana	Beranovka	Beranov
chybí hrana	Bernátka	Bernát
chybí hrana	Besinka	Besina
chybí hrana	Betka	Bet
chybí hrana	Bezručka	Bezruč
chybí hrana	Bečvárka	Bečváry
chybí hrana	Bilinka	Bilina
chybí hrana	Bivojka	Bivoj
chybí hrana	Blahuška	Blahuš
chybí hrana	Blanka	Blan
chybí hrana	Bláhovka	Bláhov
chybí hrana	Blšanka	Blšany
chybí hrana	Bobrovka	Bobrov
chybí hrana	Bogdanka	Bogdan
chybí hrana	Bohuška	Bohuš
chybí hrana	Bolenka	Bolen
chybí hrana	Bolinka	Bolina
chybí hrana	Bolka	Bol
chybí hrana	Bořislavka	Bořislav
chybí hrana	Branka	Brano
chybí hrana	Bratřejovka	Bratřejov
chybí hrana	Bravoska	Bravos
chybí hrana	Brigitka	Brigit
chybí hrana	Brnčálka	Brnčál
chybí hrana	Brumlovka	Brumlov
chybí hrana	Brumovka	Brumov
chybí hrana	Brunka	Brun
chybí hrana	Bucharka	Buchar
chybí hrana	Budínka	Budín
chybí hrana	Buika	Bui
chybí hrana	Bukačka	Bukač
chybí hrana	Bukovka	Bukov
chybí hrana	Bukůvka	Bukův
chybí hrana	Bulovka	Bulova
chybí hrana	Bumbalka	Bumbala
chybí hrana	Bumbálka	Bumbál
chybí hrana	Bushka	Bush
chybí hrana	Bučanka	Bučan
chybí hrana	Bylanka	Bylany
chybí hrana	Bílinka	Bílina
chybí hrana	Bílka	Bíla
