*opuštěná slova končící na 'ace'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	acidifikace	acidifikovat
chybí hrana	autentifikace	autentifikovat
chybí hrana	autodekryptace	dekryptace
chybí hrana	autoenkryptace	enkryptace
chybí hrana	autointerpretace	interpretace
chybí hrana	autoklimatizace	klimatizace
chybí hrana	autokolimace	kolimace
chybí hrana	autokonfigurace	konfigurace
chybí hrana	automutilace	mutilace
chybí hrana	automystifikace	mystifikace
chybí hrana	autonavigace	navigace
chybí hrana	autooxidace	oxidace
chybí hrana	autoregulace	regulace
chybí hrana	autoreplikace	replikace
chybí hrana	autorotace	rotace
chybí hrana	autostylizace	stylizace
chybí hrana	autosumace	sumace
chybí hrana	autotransplantace	transplantace
chybí hrana	biofermentace	fermentace
chybí hrana	bioindikace	indikace
chybí hrana	bioinformace	informace
chybí hrana	biokoncentrace	koncentrace
chybí hrana	biolikvidace	likvidace
chybí hrana	biomanipulace	manipulace
chybí hrana	biomatrace	matrace
chybí hrana	bioregulace	regulace
chybí hrana	biorestaurace	restaurace
chybí hrana	biosanace	sanace
chybí hrana	bonitace	bonitovat
chybí hrana	cyklodemonstrace	demonstrace
chybí hrana	cyklointegrace	integrace
chybí hrana	cyklokomunikace	komunikace
chybí hrana	cykloorganizace	organizace
chybí hrana	delignifikace	lignifikace
chybí hrana	desenzibilizace	senzibilizace
chybí hrana	detoxifikace	detoxifikovat
chybí hrana	dvojfederace	federace
chybí hrana	dvojinscenace	inscenace
chybí hrana	dvojkombinace	kombinace
chybí hrana	dvojmatrace	matrace
chybí hrana	dvojoperace	operace
chybí hrana	dvojprezentace	prezentace
chybí hrana	elektrodokumentace	dokumentace
chybí hrana	elektroinstalace	instalace
chybí hrana	elektroizolace	izolace
chybí hrana	elektrokoagulace	koagulace
chybí hrana	elektrometalizace	metalizace
chybí hrana	exemplifikace	exemplifikovat
chybí hrana	exfoliace	foliace
chybí hrana	explantace	plantace
chybí hrana	extabulace	tabulace
chybí hrana	exulcerace	ulcerace
chybí hrana	fotoasimilace	asimilace
chybí hrana	fotofosforylace	fosforylace
chybí hrana	fotokoagulace	koagulace
chybí hrana	fotoprezentace	prezentace
chybí hrana	fotorespirace	respirace
chybí hrana	fotostimulace	stimulace
chybí hrana	fruktifikace	fruktifikovat
chybí hrana	halucinace	halucinovat
chybí hrana	humifikace	humifikovat
chybí hrana	hydrochlorace	chlorace
chybí hrana	hydrolokace	lokace
chybí hrana	hydromeliorace	meliorace
chybí hrana	hydrorafinace	rafinace
chybí hrana	imunomodulace	modulace
chybí hrana	imunonormalizace	normalizace
chybí hrana	imunorestaurace	restaurace
chybí hrana	imunostimulace	stimulace
chybí hrana	justifikace	justifikovat
chybí hrana	kalcifikace	kalcifikovat
chybí hrana	libace	libovat
chybí hrana	lignifikace	lignifikovat
chybí hrana	nacifikace	nacifikovat
chybí hrana	nitrifikace	nitrifikovat
chybí hrana	nulifikace	nulifikovat
chybí hrana	osifikace	osifikovat
chybí hrana	permutace	permutovat
