*opuštěná slova končící na 'ař'
*tři skupiny: nalezený rodič, který je častější než nalezené slovo, nalezený rodič, který je méně častý než nalezené slovo, nenalezen rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*častější předek
chybí hrana	Basař	Basa
chybí hrana	Baňař	Baňa
chybí hrana	Baštař	Bašta
chybí hrana	Bělař	Běla
chybí hrana	Dekař	deka
chybí hrana	Hadař	had
chybí hrana	Halčař	Halík
chybí hrana	Hotař	Hot
chybí hrana	Hubař	Huba
chybí hrana	Hunkař	Hunka
chybí hrana	Huňař	Huňa
chybí hrana	Jančař	Janča
chybí hrana	Kaffař	Kaffa
chybí hrana	Kačmař	Kačák
chybí hrana	Klackař	Klacek
chybí hrana	Korbař	Korba
chybí hrana	Kosař	kosa
chybí hrana	Kotař	kota
chybí hrana	Krosnař	krosna
chybí hrana	Krupař	Krupa
chybí hrana	Krčmař	Krčma
chybí hrana	Kubař	Kuba
chybí hrana	Lepař	lep
chybí hrana	Likař	Lika
chybí hrana	Liškař	Liška
chybí hrana	Liščař	Lišák
chybí hrana	Lochař	Loch
chybí hrana	Machař	macha
chybí hrana	Masař	masa
chybí hrana	Misař	mise
chybí hrana	Mlíkař	Mlíka
chybí hrana	Mísař	mísa
chybí hrana	Pluhař	pluh
chybí hrana	Ruchař	ruch
chybí hrana	Rybař	Ryba
chybí hrana	Sakař	Sak
chybí hrana	Sečkař	Sečka
chybí hrana	Sitař	Sita
chybí hrana	Smolař	Smola
chybí hrana	Solař	Sol
chybí hrana	Sytař	sytý
chybí hrana	Sítař	sít
chybí hrana	Valchař	Valcha
chybí hrana	Vidlař	vidle
chybí hrana	Vinař	vina
chybí hrana	Včelař	včela
chybí hrana	Zachař	Zacha
chybí hrana	Zvonař	zvon
chybí hrana	baňkař	baňka
chybí hrana	beachař	beach
chybí hrana	benčař	benč
chybí hrana	blogař	blog
chybí hrana	bobař	bob
chybí hrana	bojař	boj
chybí hrana	bombař	bomba
chybí hrana	boulař	boule
chybí hrana	bowlař	bowl
chybí hrana	breakař	break
chybí hrana	brejkař	brejk
chybí hrana	brokař	brok
chybí hrana	bronzař	bronz
chybí hrana	broukař	brouk
chybí hrana	brouskař	brousek
chybí hrana	brýlař	brýle
chybí hrana	bukař	buk
chybí hrana	chcankař	chcanky
chybí hrana	chytař	chyt
chybí hrana	cykloznačkař	cykloznačka
chybí hrana	cévař	céva
chybí hrana	downtempař	downtempo
chybí hrana	dredař	dredy
chybí hrana	dresař	dres
chybí hrana	driftař	drift
chybí hrana	drvař	drak
chybí hrana	dvackař	dvacka
chybí hrana	dvojkař	dvojka
chybí hrana	dávkař	dávka
chybí hrana	děckař	děcák
chybí hrana	džbánkař	džbánek
chybí hrana	džípař	džíp
chybí hrana	emař	emu
chybí hrana	erkař	erko
chybí hrana	fajfkař	fajfka
chybí hrana	fichtlař	fichtl
chybí hrana	filckař	filcka
chybí hrana	flejmař	flejma
chybí hrana	formař	forma
chybí hrana	fázař	fáze
chybí hrana	fórkař	fórek
chybí hrana	glosař	glosa
chybí hrana	hadař	had
chybí hrana	haikař	haiku
chybí hrana	haldař	halda
chybí hrana	helmař	helma
chybí hrana	hitař	hit
chybí hrana	hlídkař	hlídka
chybí hrana	hnidař	hnida
chybí hrana	hodař	hod
chybí hrana	hranař	hrana
chybí hrana	hrazdař	hrazda
chybí hrana	hruškař	hruška
chybí hrana	hubkař	hubka
chybí hrana	hymnař	hymna
chybí hrana	hřibař	hřib
chybí hrana	hříčkař	hříčka
chybí hrana	hůlkař	hůlka
chybí hrana	jedař	jed
chybí hrana	jurtař	jurta
chybí hrana	kajtař	kajak
chybí hrana	kitař	kit
chybí hrana	klapkař	klapka
chybí hrana	klihař	klih
chybí hrana	kličkař	klička
chybí hrana	knejpař	knejp
chybí hrana	kolkař	kolik
chybí hrana	koňkař	koňka
chybí hrana	kradař	kradí
chybí hrana	krbař	krb
chybí hrana	krokař	krok
chybí hrana	krátkař	krátký
chybí hrana	krčař	krok
chybí hrana	kušař	kuše
chybí hrana	kárkař	kárka
chybí hrana	kůlař	kůl
