*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
*
*častější předek
chybí hrana	akcijní	akce
chybí hrana	bernardýní	bernardýn
chybí hrana	bordelní	bordel
chybí hrana	dvojprávní	dvojpráví
chybí hrana	dvojslovní	dvojsloví
chybí hrana	dvojspřežní	dvojspřeží
chybí hrana	dvoumístní	dvoumísto
chybí hrana	dvouslovní	dvousloví
chybí hrana	dvouvěžní	dvouvěží
chybí hrana	dvouzávodní	dvouzávod
chybí hrana	hlasitostní	hlasitost
chybí hrana	jednospřežní	jednospřeží
chybí hrana	kanibalní	kanibal
chybí hrana	kaštanozemní	kaštanozem
chybí hrana	kolkovní	kolkovna
chybí hrana	kormorání	kormorán
chybí hrana	kumštovní	kumšt
chybí hrana	lasturní	lastura
chybí hrana	lazební	lazebna
chybí hrana	lvouní	lvoun
chybí hrana	léčební	léčebna
chybí hrana	mapní	mapa
chybí hrana	nadsklepní	nadsklepí
chybí hrana	nadvládní	nadvláda
chybí hrana	nitrooční	nitro
chybí hrana	nálepní	nálep
chybí hrana	náložní	nálož
chybí hrana	obezřetnostní	obezřetnost
chybí hrana	odkapní	odkap
chybí hrana	odlovní	odlov
chybí hrana	ojní	oj
chybí hrana	okazní	oko
chybí hrana	ovzdušní	ovzduší
chybí hrana	pelikání	pelikán
chybí hrana	plodní	plod
chybí hrana	podskalní	podskalí
chybí hrana	podvodní	podvod
chybí hrana	potažní	pot
chybí hrana	povodní	povodí
chybí hrana	praporeční	prapor
chybí hrana	prohradní	prohra
chybí hrana	protihradní	protihra
chybí hrana	provizijní	provize
chybí hrana	provodní	provod
chybí hrana	psouní	psoun
chybí hrana	pultovní	pult
chybí hrana	pustulosní	pustula
chybí hrana	předkolizní	předkolo
chybí hrana	přepadní	přepad
chybí hrana	přízední	příze
chybí hrana	půlslovní	půlslovo
chybí hrana	rozcestní	rozcestí
chybí hrana	rumní	rum
chybí hrana	sadební	sad
chybí hrana	sejmovní	sejm
chybí hrana	skladovní	sklad
chybí hrana	složní	slož
chybí hrana	splavní	splav
chybí hrana	stejnolodní	stejnolodí
chybí hrana	stoletní	století
chybí hrana	svozní	svoz
chybí hrana	trhovní	trh
chybí hrana	trojmezní	trojmezí
chybí hrana	trojčelní	trojče
chybí hrana	třenovní	tření
chybí hrana	tříspřežní	tříspřeží
chybí hrana	utrakvistní	utrakvista
chybí hrana	vdovní	vdova
chybí hrana	verbovní	verbovné
chybí hrana	vitalistní	vitalista
chybí hrana	volubní	vole
chybí hrana	vplatní	vplat
chybí hrana	vrtošní	vrt
chybí hrana	výložní	výlož
chybí hrana	výměneční	výměna
chybí hrana	výslunní	výsluní
chybí hrana	zastavární	zastavárna
chybí hrana	zhostní	zhost
chybí hrana	zvěřní	zvěř
chybí hrana	záchodní	záchod
chybí hrana	záhorní	záhora
chybí hrana	zákopní	zákop
chybí hrana	zákostelní	zákostelí
chybí hrana	zálesní	zálesí
chybí hrana	zámezní	zámezí
chybí hrana	zápasní	zápas
chybí hrana	zápecní	zápecí
chybí hrana	zápětní	zápětí
chybí hrana	zárodeční	zárod
chybí hrana	zárodní	zárod
chybí hrana	záštní	záští
chybí hrana	úmluvní	úmluva
chybí hrana	ústrojní	ústrojí
chybí hrana	úvozní	úvoz
chybí hrana	čajní	čaj
chybí hrana	čivní	čiva
chybí hrana	čtvrtarchovní	čtvrtarch
chybí hrana	říjní	říje
chybí hrana	šachtovní	šachta
chybí hrana	šestinedělní	šestinedělí
chybí hrana	šíjní	šíje
chybí hrana	ženantní	žena
chybí hrana	živobytní	živobytí
chybí hrana	žluní	žluna
chybí hrana	žoldovní	žold
chybí hrana	žumpovní	žumpa
*
*méně častý předek
chybí hrana	celostátní	celost
chybí hrana	dvojdenní	dvojden
chybí hrana	dvojlodní	dvojlodí
chybí hrana	dvojtýdenní	dvojtýden
chybí hrana	dvoutýdenní	dvoutýden
chybí hrana	jehelní	jehelné
chybí hrana	mezivládní	mezivládí
