*identická slova s rozdílnou velikostí prvního písmene a různým slovním druhem
*chybí hrana	zkoumané slovo	nalezené slovo
*
chybí hrana	Ala	ala
chybí hrana	An	an
chybí hrana	Babit	babit
chybí hrana	Benedictus	benedictus
chybí hrana	Bianco	bianco
chybí hrana	Bitcevský	bitcevský
chybí hrana	Blond	blond
chybí hrana	Bohatý	bohatý
chybí hrana	Boltanský	boltanský
chybí hrana	Boromejský	boromejský
chybí hrana	Boskovský	boskovský
chybí hrana	Brestovanský	brestovanský
chybí hrana	Brutus	brutus
chybí hrana	Bílý	bílý
chybí hrana	Březí	březí
chybí hrana	Celý	celý
chybí hrana	Chmelnický	chmelnický
chybí hrana	Chocenický	chocenický
chybí hrana	Chromý	chromý
chybí hrana	Chudý	chudý
chybí hrana	Chytrý	chytrý
chybí hrana	Combi	combi
chybí hrana	Country	country
chybí hrana	Daun	daun
chybí hrana	Daňkovský	daňkovský
chybí hrana	Devátý	devátý
chybí hrana	Dlouhý	dlouhý
chybí hrana	Dmout	dmout
chybí hrana	Dobrovodský	dobrovodský
chybí hrana	Dobrovolný	dobrovolný
chybí hrana	Dobrý	dobrý
chybí hrana	Domanický	domanický
chybí hrana	Esterházy	esterházy
chybí hrana	Fantasy	fantasy
chybí hrana	Fest	fest
chybí hrana	Folk	folk
chybí hrana	Franko	franko
chybí hrana	Fuzzy	fuzzy
chybí hrana	Habaděj	habaděj
chybí hrana	Hard	hard
chybí hrana	Hloupý	hloupý
chybí hrana	Hluchý	hluchý
chybí hrana	Hnát	hnát
chybí hrana	Holt	holt
chybí hrana	Holý	holý
chybí hrana	Horký	horký
chybí hrana	Horný	horný
chybí hrana	Hotový	hotový
chybí hrana	Houšť	houšť
chybí hrana	Hořký	hořký
chybí hrana	Hrdý	hrdý
chybí hrana	Hrubý	hrubý
chybí hrana	Jak	jak
chybí hrana	Jalový	jalový
chybí hrana	Jarý	jarý
chybí hrana	Jazz	jazz
chybí hrana	Jen	jen
chybí hrana	Jestřabí	jestřabí
chybí hrana	Jiřský	jiřský
chybí hrana	Just	just
chybí hrana	Klát	klát
chybí hrana	Knap	knap
chybí hrana	Kolský	kolský
chybí hrana	Kontra	kontra
chybí hrana	Kopit	kopit
chybí hrana	Kosmo	kosmo
chybí hrana	Kostecký	kostecký
chybí hrana	Krapík	krapík
chybí hrana	Krivý	krivý
chybí hrana	Krutý	krutý
chybí hrana	Krásnohorský	krásnohorský
chybí hrana	Krátký	krátký
chybí hrana	Kuka	kuka
chybí hrana	Kutnohorský	kutnohorský
chybí hrana	Kyselý	kyselý
chybí hrana	Křivský	křivský
chybí hrana	Křivý	křivý
chybí hrana	Křížkovský	křížkovský
chybí hrana	Lahodný	lahodný
chybí hrana	Lakomý	lakomý
chybí hrana	Lehký	lehký
chybí hrana	Levý	levý
chybí hrana	Libý	libý
chybí hrana	Lichý	lichý
chybí hrana	Loutocký	loutocký
chybí hrana	Lutopecký	lutopecký
chybí hrana	Lát	lát
chybí hrana	Malostranský	malostranský
chybí hrana	Malátný	malátný
chybí hrana	Maxi	maxi
chybí hrana	Mega	mega
chybí hrana	Micro	micro
chybí hrana	Milý	milý
chybí hrana	Moc	moc
chybí hrana	Modrý	modrý
chybí hrana	Mono	mono
chybí hrana	Moudrý	moudrý
chybí hrana	Místo	místo
chybí hrana	Místo	místo
chybí hrana	Namyslowský	namyslowský
chybí hrana	Nato	nato
chybí hrana	Nevrlý	nevrlý
chybí hrana	Nezmaří	nezmaří
chybí hrana	Novodvorský	novodvorský
chybí hrana	Novohradský	novohradský
chybí hrana	Nádherný	nádherný
chybí hrana	Němý	němý
chybí hrana	Ob	ob
chybí hrana	Ok	ok
chybí hrana	Okrouhlecký	okrouhlecký
chybí hrana	Pak	pak
chybí hrana	Pepsi	pepsi
chybí hrana	Pepsi	pepsi
chybí hrana	Per	per
chybí hrana	Perplex	perplex
chybí hrana	Pevný	pevný
chybí hrana	Plachý	plachý
chybí hrana	Plát	plát
chybí hrana	Podlipský	podlipský
chybí hrana	Pop	pop
chybí hrana	Preobraženský	preobraženský
chybí hrana	Prima	prima
chybí hrana	Prostořeký	prostořeký
chybí hrana	Práchyňský	práchyňský
chybí hrana	Prát	prát
chybí hrana	Pátý	pátý
chybí hrana	Pěkný	pěkný
chybí hrana	Přes	přes
chybí hrana	Přívětivý	přívětivý
chybí hrana	Recht	recht
chybí hrana	Rochat	rochat
chybí hrana	Rock	rock
chybí hrana	Rovný	rovný
chybí hrana	Runcat	runcat
chybí hrana	Rusý	rusý
chybí hrana	Rychlý	rychlý
chybí hrana	Ryšavý	ryšavý
chybí hrana	Se	se
chybí hrana	Sebechlebský	sebechlebský
chybí hrana	Senza	senza
chybí hrana	Sivooký	sivooký
chybí hrana	Sivý	sivý
chybí hrana	Ski	ski
chybí hrana	Slabý	slabý
chybí hrana	Smutný	smutný
chybí hrana	Soft	soft
chybí hrana	Stoupecký	stoupecký
chybí hrana	Studený	studený
chybí hrana	Suchý	suchý
chybí hrana	Super	super
chybí hrana	Super	super
chybí hrana	Surový	surový
chybí hrana	Svatý	svatý
chybí hrana	Syrový	syrový
chybí hrana	Tenkrát	tenkrát
chybí hrana	Teplý	teplý
chybí hrana	Teraz	teraz
chybí hrana	Tichý	tichý
chybí hrana	Tip	tip
chybí hrana	Toto	toto
chybí hrana	Trněný	trněný
chybí hrana	Tu	tu
chybí hrana	Tuhý	tuhý
chybí hrana	Tupý	tupý
chybí hrana	Tvrdý	tvrdý
chybí hrana	Ty	ty
chybí hrana	Tělecký	tělecký
chybí hrana	Těžký	těžký
chybí hrana	Udatný	udatný
chybí hrana	Ulický	ulický
chybí hrana	Uspenský	uspenský
chybí hrana	Vale	vale
chybí hrana	Velebit	velebit
chybí hrana	Velecký	velecký
chybí hrana	Velický	velický
chybí hrana	Velkoborský	velkoborský
chybí hrana	Velký	velký
chybí hrana	Veselý	veselý
chybí hrana	Vetchý	vetchý
chybí hrana	Vo	vo
chybí hrana	Vratkovský	vratkovský
chybí hrana	Vráz	vráz
chybí hrana	Vysoký	vysoký
chybí hrana	Vít	vít
chybí hrana	Vševidoucí	vševidoucí
chybí hrana	Vševědoucí	vševědoucí
chybí hrana	Za	za
chybí hrana	Zelený	zelený
chybí hrana	Zet	zet
chybí hrana	Zlý	zlý
chybí hrana	Zouplna	zouplna
chybí hrana	Zákostelecký	zákostelecký
chybí hrana	Zárybnický	zárybnický
chybí hrana	Zářecký	zářecký
chybí hrana	ala	Ala
chybí hrana	an	An
chybí hrana	babit	Babit
