*identická slova s různým slovním druhem
*chybí hrana	zkoumané slovo	nalezené slovo
*
chybí hrana	Benedictus	Benedictus
chybí hrana	Benedictus	Benedictus
chybí hrana	Czech	Czech
chybí hrana	Czech	Czech
chybí hrana	Pepsi	Pepsi
chybí hrana	Pepsi	Pepsi
chybí hrana	accelerando	accelerando
chybí hrana	accelerando	accelerando
chybí hrana	agitato	agitato
chybí hrana	agitato	agitato
chybí hrana	ala	ala
chybí hrana	ala	ala
chybí hrana	amoroso	amoroso
chybí hrana	amoroso	amoroso
chybí hrana	ažúr	ažúr
chybí hrana	ažúr	ažúr
chybí hrana	beta	beta
chybí hrana	beta	beta
chybí hrana	bez	bez
chybí hrana	bez	bez
chybí hrana	blízký	blízký
chybí hrana	blízký	blízký
chybí hrana	bohatý	bohatý
chybí hrana	bohatý	bohatý
chybí hrana	boří	boří
chybí hrana	boří	boří
chybí hrana	bílý	bílý
chybí hrana	bílý	bílý
chybí hrana	café	café
chybí hrana	café	café
chybí hrana	chucpe	chucpe
chybí hrana	chucpe	chucpe
chybí hrana	co	co
chybí hrana	co	co
chybí hrana	cockney	cockney
chybí hrana	cockney	cockney
chybí hrana	combi	combi
chybí hrana	combi	combi
chybí hrana	country	country
chybí hrana	country	country
chybí hrana	cyklo	cyklo
chybí hrana	cyklo	cyklo
chybí hrana	debl	debl
chybí hrana	debl	debl
chybí hrana	doprostředka	doprostředka
chybí hrana	doprostředka	doprostředka
chybí hrana	druhý	druhý
chybí hrana	druhý	druhý
chybí hrana	drát	drát
chybí hrana	drát	drát
chybí hrana	durch	durch
chybí hrana	durch	durch
chybí hrana	dál	dál
chybí hrana	dál	dál
chybí hrana	expres	expres
chybí hrana	expres	expres
chybí hrana	fantasy	fantasy
chybí hrana	fantasy	fantasy
chybí hrana	fest	fest
chybí hrana	fest	fest
chybí hrana	folk	folk
chybí hrana	folk	folk
chybí hrana	forte	forte
chybí hrana	forte	forte
chybí hrana	fortepiano	fortepiano
chybí hrana	fortepiano	fortepiano
chybí hrana	freeride	freeride
chybí hrana	freeride	freeride
chybí hrana	frišno	frišno
chybí hrana	frišno	frišno
chybí hrana	furioso	furioso
chybí hrana	furioso	furioso
chybí hrana	hala	hala
chybí hrana	hala	hala
chybí hrana	halit	halit
chybí hrana	halit	halit
chybí hrana	handsfree	handsfree
chybí hrana	handsfree	handsfree
chybí hrana	hifi	hifi
chybí hrana	hifi	hifi
chybí hrana	hnát	hnát
chybí hrana	hnát	hnát
chybí hrana	inkognito	inkognito
chybí hrana	inkognito	inkognito
chybí hrana	jak	jak
chybí hrana	jak	jak
chybí hrana	jen	jen
chybí hrana	jen	jen
chybí hrana	jet	jet
chybí hrana	jet	jet
chybí hrana	jidiš	jidiš
chybí hrana	jidiš	jidiš
chybí hrana	já	já
chybí hrana	já	já
chybí hrana	klát	klát
chybí hrana	klát	klát
chybí hrana	komplet	komplet
chybí hrana	komplet	komplet
chybí hrana	košer	košer
chybí hrana	košer	košer
chybí hrana	kór	kór
chybí hrana	kór	kór
chybí hrana	live	live
chybí hrana	live	live
chybí hrana	market	market
chybí hrana	market	market
chybí hrana	maxi	maxi
chybí hrana	maxi	maxi
chybí hrana	mega	mega
chybí hrana	mega	mega
chybí hrana	mimo	mimo
chybí hrana	mimo	mimo
chybí hrana	mini	mini
chybí hrana	mini	mini
chybí hrana	minus	minus
chybí hrana	minus	minus
chybí hrana	mladý	mladý
chybí hrana	mladý	mladý
chybí hrana	mrtvý	mrtvý
chybí hrana	mrtvý	mrtvý
chybí hrana	music	music
chybí hrana	music	music
chybí hrana	my	my
chybí hrana	my	my
chybí hrana	místo	místo
chybí hrana	místo	místo
chybí hrana	místo	místo
chybí hrana	namísto	namísto
chybí hrana	namísto	namísto
chybí hrana	napadený	napadený
chybí hrana	napadený	napadený
chybí hrana	naschvál	naschvál
chybí hrana	naschvál	naschvál
chybí hrana	nenávratno	nenávratno
chybí hrana	nenávratno	nenávratno
chybí hrana	nic	nic
chybí hrana	nic	nic
chybí hrana	nonstop	nonstop
chybí hrana	nonstop	nonstop
chybí hrana	nonstop	nonstop
chybí hrana	nýt	nýt
chybí hrana	nýt	nýt
chybí hrana	originál	originál
chybí hrana	originál	originál
chybí hrana	paterý	paterý
chybí hrana	paterý	paterý
chybí hrana	pažit	pažit
chybí hrana	pažit	pažit
chybí hrana	pepsi	pepsi
chybí hrana	pepsi	pepsi
chybí hrana	pizzicato	pizzicato
chybí hrana	pizzicato	pizzicato
chybí hrana	plus	plus
chybí hrana	plus	plus
chybí hrana	plát	plát
chybí hrana	plát	plát
chybí hrana	podobojí	podobojí
chybí hrana	podobojí	podobojí
chybí hrana	pohodlno	pohodlno
chybí hrana	pohodlno	pohodlno
chybí hrana	pop	pop
chybí hrana	pop	pop
chybí hrana	presto	presto
chybí hrana	presto	presto
chybí hrana	prima	prima
chybí hrana	prima	prima
chybí hrana	proforma	proforma
chybí hrana	proforma	proforma
chybí hrana	první	první
chybí hrana	první	první
chybí hrana	pryč	pryč
chybí hrana	pryč	pryč
chybí hrana	punk	punk
chybí hrana	punk	punk
chybí hrana	put	put
chybí hrana	put	put
chybí hrana	pár	pár
chybí hrana	pár	pár
chybí hrana	pět	pět
chybí hrana	pět	pět
chybí hrana	raz	raz
chybí hrana	raz	raz
chybí hrana	rock	rock
chybí hrana	rock	rock
chybí hrana	scifi	scifi
chybí hrana	scifi	scifi
chybí hrana	show	show
chybí hrana	show	show
chybí hrana	ski	ski
chybí hrana	ski	ski
chybí hrana	skorojasno	skorojasno
chybí hrana	skorojasno	skorojasno
chybí hrana	skrz	skrz
