*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*tato dvojice slov není nijak příbuzná	85.3809462421039
*rodičem v tomto vztahu je slovo obsahující zdvojené písmeno	8.792058785612996
*rodičem v tomto vztahu je slovo bez zdvojeného písmene	5.788320226891839
*tato dvojice slov je příbuzná, ale ne napřímo	0.03867474539125951
*
*tato dvojice slov není nijak příbuzná
*chybí hrana	slovo	slovo
chybí hrana	Aaasen	Aasen
chybí hrana	Aaasenův	Aasenův
chybí hrana	Aardmann	Aardman
chybí hrana	Abaddon	Abadon
chybí hrana	Abaddonův	Abadonův
chybí hrana	Abassová	Abasová
chybí hrana	Abba	Aba
chybí hrana	Abbach	Abach
chybí hrana	Abbadon	Abadon
chybí hrana	Abbadonův	Abadonův
chybí hrana	Abbadův	Abadův
chybí hrana	Abbassová	Abbasová
chybí hrana	Abbassová	Abassová
chybí hrana	Abbate	Abate
chybí hrana	Abbateová	Abateová
chybí hrana	Abbe	Abe
chybí hrana	Abbid	Abid
chybí hrana	Abbidův	Abidův
chybí hrana	Abbigail	Abigail
chybí hrana	Abbo	Abo
chybí hrana	Abbott	Abbot
chybí hrana	Abbottová	Abbotová
chybí hrana	Abbottův	Abbotův
chybí hrana	Abbottův	Abottův
chybí hrana	Abboud	Aboud
chybí hrana	Abboudův	Aboudův
chybí hrana	Abbás	Abás
chybí hrana	Abbásí	Abásí
chybí hrana	Abbásův	Abásův
chybí hrana	Abbík	Abík
chybí hrana	Abbú	Abú
chybí hrana	Abbův	Abův
chybí hrana	Abdalfattáh	Abdalfatáh
chybí hrana	Abdalfattáhův	Abdalfatáhův
chybí hrana	Abdall	Abdal
chybí hrana	Abdallův	Abdalův
chybí hrana	Abdull	Abdul
chybí hrana	Abdullajev	Abdulajev
chybí hrana	Abdullajevův	Abdulajevův
chybí hrana	Abdulláh	Abduláh
chybí hrana	Abdulláhův	Abduláhův
chybí hrana	Abdullův	Abdulův
chybí hrana	Abdurrahmán	Abdurahmán
chybí hrana	Abdurrahmánův	Abdurahmánův
chybí hrana	Abeele	Abele
chybí hrana	Abellia	Abelia
chybí hrana	Abellová	Abelová
chybí hrana	Abellův	Abelův
